#,Last Name,First Name,Affiliation/Institution
1,Allred,Joel,NASA/GSFC
2,Antolin,Patrick,Northumbria University
3,Bose,Souvik ,SETI institute
4,Bradshaw,Stephen,Rice University
5,Brooks,David,"Computational Physics, Inc."
6,Carlsson,Mats,Rosseland Centre for Solar Physics
7,Cheung,Mark,CSIRO
8,Cho,Kyuhyoun,SETI/LMSAL
9,Cozzo,Gabriele,Center for Astrophysics Harvard & Smithsonian
10,Daldorff,Lars,NASA GSFC/CUA
11,Danilovic,Sanja,Stockholm University
12,Daw,Adrian,NASA-GSFC
13,de la Cruz Rodriguez,Jaime,Stockholm University
14,De Moortel,Ineke,University of St Andrews
15,De Pontieu,Bart,LMSAL
16,Diaz Baso,Carlos Jose,"RoCS, University of Oslo"
17,Downs,Cooper,Predictive Science Inc.
18,Fan,Yuhong,HAO/NCAR
19,Feraco ,Fabio ,University of Calabria
20,Ferrente,Fabiana,INAF - OACT
21,Freij,Nabil,LMSAL & SETI
22,Glesener,Lindsay,University of Minnesota
23,Gosic,Milan,SETI Institute
24,Guglielmino,Salvo,INAF Catania
25,Hansteen,Viggo,LMSAL/SETI/RoCS
26,Imada,Shinsuke,University of Tokyo
27,Jaeggli,Sarah,National Solar Observatory - Daniel K. Inouye Solar Telescope
28,Jin,Meng,Lockheed Martin Solar & Astrophysics Lab
29,Johnston,Craig,GMU/NASA GSFC
30,Joshi,Jayant ,"Indian Institute of Astrophysics, Bengaluru, India"
31,Kazachenko,Maria,University of Colorado Boulder / National Solar Observatory
32,Kerr,Graham ,The Catholic University of America
33,Khomenko,Elena,Instituto de Astrofisica de Canarias
34,Klimchuk,James,NASA GSFC
35,Kowalski,Adam,"University of Colorado, National Solar Observatory"
36,Liu,Wei,LMSAL/BAERI
37,Longcope,Dana,Montana State University
38,Lorincik,Juraj,BAERI/LMSAL
39,Martinez-Sykora,Juan,SETI
40,Mondal,Biswajit,NPP/NASA MSFC
41,Moreno-Insertis,Fernando,Instituto de Astrofísica de Canarias
42,Nóbrega-Siverio,Daniel,Instituto de Astrofísica de Canarias (IAC)
43,Nordlund,Åke,"Niels Bohr Institute, University of Copenhagen"
44,Okamoto,Joten,National Astronomical Observatory of Japan
45,Panesar,Navdeep,LMSAL/BAERI
46,Parker,Jake,NASA/GSFC
47,Polito,Vanessa,Lockheed Martin Solar and Astrophysics Lab
48,Przybylski,Damien,MPS
49,Rappazzo,Franco,Università di Palermo
50,Reeves,Kathy,Harvard-Smithsonian Center for Astrophysics
51,Rempel,Matthias,HAO/NSF NCAR
52,Robinson,Rebecca,SETI Institute
53,Rouppe van der Voort,Luc,"RoCS, University of Oslo"
54,Sainz Dalda,Alberto,SETI/LMSAL
55,Shi,Tong,SETI Institute
56,Srivastava,Abhishekh Kumar,Indian Institute of Technology (BHU)
57,Stangalini,Marco,ASI
58,Tarr,Lucas,NSO
59,Testa,Paola,Harvard-Smithsonian Center for Astrophysics
60,Tiwari,Sanjiv,LMSAL/BAERI
61,Toriumi,Shin,Japan Aerospace Exploration Agency
62,Tripathi,Durgesh,IUCAA
63,Ugarte-Urra,Ignacio,Naval Research Laboratory
64,Upendran,Vishal,SETI
65,,Vasantharaju naganna,"Max Planck Institute for Solar System Research, Gottingen, Germany"
66,Winebarger,Amy,NASA MSFC
67,McIntosh,Scott,Lynker Space
